timestamp,city,transacted_amount,status
2014-10-24,Hyderabad,3125.93,failure
2014-09-23,Kolkata,3372.11,success
2015-01-04,Hyderabad,3849.4,failure
2014-09-24,Trivandrum,4747.29,success
2014-11-10,Hyderabad,630.1,success
2014-03-03,Trivandrum,2518.82,failure
2014-11-20,Hyderabad,3593.86,failure
2014-05-28,Kolkata,3022.24,success
2014-11-04,Hyderabad,488.12,success
2014-05-10,Kochi,2086.62,failure
2014-11-07,Kochi,3135.64,success
2014-05-20,Trivandrum,644.52,failure
2014-11-16,Kolkata,2410.35,failure
2014-04-02,Kochi,3175.46,success
2014-09-13,Ahmedabad,14.31,success
2014-05-17,Chennai,3471.65,success
2014-07-20,Bangalore,78.54,failure
2014-03-10,Bangalore,2940.94,success
2014-06-13,Jaipur,3095.39,failure
2014-10-17,Chennai,1080.5,failure
2014-12-06,Trivandrum,1825.02,failure
2015-02-13,Trivandrum,4330.19,success
2014-08-26,Bangalore,3944.69,failure
2014-12-22,Jaipur,1763.1,failure
2014-09-08,Hyderabad,3381.11,failure
2014-10-04,Bangalore,113.55,failure
2014-09-11,Kochi,4270.54,failure
2014-05-14,Jaipur,547.91,failure
2014-12-23,Delhi,2239.47,success
2014-07-07,Ahmedabad,1594.27,failure
2014-04-15,Bangalore,1125.41,failure
2014-05-22,Pune,13.21,success
2014-05-28,Ahmedabad,3018.11,failure
2014-08-21,Jaipur,3765.77,failure
2014-09-30,Jaipur,4742.87,success
2015-03-06,Hyderabad,3405.29,success
2014-07-27,Jaipur,3542.48,failure
2014-04-12,Ahmedabad,1797.29,failure
2014-06-16,Kochi,2269.82,success
2014-03-23,Jaipur,3172.39,success
2014-05-01,Kolkata,1906.87,failure
2014-06-01,Bangalore,2835.54,failure
2015-02-22,Hyderabad,3410.73,success
2015-02-15,Trivandrum,1812.21,success
2014-08-11,Jaipur,3759.34,failure
2014-11-08,Delhi,2854.81,failure
2015-02-20,Kolkata,3141.16,failure
2014-10-31,Kolkata,4762.37,failure
2015-02-08,Bangalore,1991.21,failure
2014-08-04,Trivandrum,2966.02,failure
2014-04-27,Chennai,3384.14,success
2015-02-19,Ahmedabad,1405.2,success
2014-05-13,Hyderabad,833.61,success
2014-03-10,Trivandrum,1984.63,failure
2014-09-14,Hyderabad,3974.14,success
2014-04-18,Pune,4769.0,failure
2014-03-27,Pune,4451.48,failure
2014-07-27,Delhi,1967.85,success
2015-03-01,Bangalore,1200.96,success
2015-01-15,Jaipur,2112.27,success
2014-04-05,Bangalore,288.43,failure
2015-01-23,Kolkata,2810.58,failure
2014-09-21,Pune,4966.44,success
2015-03-21,Chennai,2195.55,failure
2014-05-18,Jaipur,433.56,failure
2015-04-22,Kolkata,855.8,failure
2015-03-21,Trivandrum,1769.4,success
2014-05-17,Pune,3288.15,success
2014-05-17,Pune,1099.74,failure
2014-08-25,Kochi,3944.48,failure
2015-04-13,Kolkata,917.63,failure
2014-06-01,Kochi,2211.89,success
2014-11-18,Jaipur,2220.35,success
2015-03-27,Kochi,4192.43,success
2014-03-30,Delhi,293.74,failure
2014-07-14,Kolkata,1285.05,failure
2014-09-24,Ahmedabad,1214.19,success
2014-09-01,Bangalore,3815.78,success
2014-03-02,Trivandrum,4088.38,failure
2015-01-13,Delhi,1149.71,success
2015-01-10,Delhi,4571.59,success
2015-03-17,Trivandrum,105.68,failure
2014-05-09,Kochi,801.91,failure
2014-07-27,Kochi,1185.25,success
2014-12-02,Pune,2035.76,failure
2014-06-25,Kochi,1595.36,failure
2014-07-03,Delhi,3466.37,success
2014-05-31,Pune,1317.92,success
2014-04-15,Hyderabad,4449.05,failure
2014-09-11,Bangalore,2080.59,failure
2014-12-18,Chennai,1171.83,success
2014-08-07,Bangalore,2236.15,failure
2014-09-18,Pune,2504.46,success
2014-08-12,Kochi,4813.39,failure
2015-02-17,Chennai,4097.02,failure
2015-03-15,Bangalore,2423.92,success
2015-01-12,Delhi,1389.38,success
2014-10-30,Chennai,2626.96,success
2014-08-10,Ahmedabad,3283.22,success
2014-07-12,Chennai,4882.85,success
2015-03-11,Hyderabad,3214.28,failure
2015-03-22,Hyderabad,4488.85,failure
2014-10-19,Chennai,1043.54,success
2014-04-07,Hyderabad,3539.77,failure
2015-03-08,Delhi,512.1,failure
2015-04-13,Bangalore,2338.19,success
2014-08-16,Bangalore,4218.07,success
2014-04-03,Chennai,4687.11,failure
2014-06-06,Jaipur,3225.65,success
2014-08-21,Trivandrum,4788.53,failure
2015-01-22,Trivandrum,4000.06,failure
2014-04-24,Bangalore,91.32,failure
2014-05-04,Pune,4340.95,failure
2014-08-02,Chennai,2108.22,success
2015-04-21,Chennai,2726.78,failure
2014-08-09,Hyderabad,198.74,failure
2014-12-28,Jaipur,4504.4,success
2014-03-09,Bangalore,2568.86,success
2014-11-25,Kolkata,2803.15,failure
2014-03-05,Hyderabad,4962.24,failure
2015-04-08,Delhi,2877.28,success
2014-07-26,Pune,2647.7,failure
2015-02-02,Chennai,140.45,failure
2014-04-16,Delhi,1973.83,success
2014-09-17,Bangalore,4414.96,success
2015-01-18,Bangalore,859.31,failure
2014-11-21,Chennai,2152.12,success
2014-09-17,Jaipur,3611.84,success
2015-04-03,Hyderabad,2400.15,failure
2014-03-21,Kolkata,888.26,success
2015-03-07,Ahmedabad,1624.74,failure
2015-01-31,Pune,1828.5,success
2014-05-16,Chennai,2802.78,failure
2014-05-14,Chennai,1312.87,success
2014-07-10,Jaipur,4626.92,failure
2014-06-21,Kolkata,3426.67,success
2014-03-21,Pune,4408.08,success
2014-10-20,Trivandrum,4153.15,failure
2014-07-28,Delhi,2545.42,failure
2014-05-01,Pune,2575.58,failure
2014-09-25,Hyderabad,4022.85,failure
2014-12-11,Kolkata,3693.35,success
2014-06-21,Bangalore,3612.94,failure
2015-04-09,Kolkata,1419.49,failure
2014-12-03,Hyderabad,4353.12,success
2014-12-27,Trivandrum,642.84,failure
2014-10-20,Trivandrum,1466.5,success
2014-08-07,Ahmedabad,3388.15,failure
2014-04-05,Chennai,4635.06,failure
2015-04-06,Kolkata,1776.8,failure
2014-09-03,Delhi,539.3,success
2015-03-28,Jaipur,2591.61,success
2014-06-06,Pune,1671.86,success
2014-05-09,Bangalore,194.6,success
2014-07-23,Hyderabad,3156.89,failure
2014-09-15,Bangalore,1619.07,failure
2014-05-31,Kochi,465.08,success
2014-11-28,Chennai,3756.57,success
2015-04-06,Kochi,2527.98,success
2015-01-02,Ahmedabad,1148.23,success
2014-05-20,Delhi,4809.12,success
2014-03-07,Bangalore,1230.95,success
2015-04-15,Trivandrum,2964.79,success
2015-02-12,Pune,1070.11,failure
2014-11-11,Jaipur,4236.99,success
2014-09-16,Hyderabad,4466.88,failure
2015-03-03,Bangalore,1142.32,failure
2015-01-28,Jaipur,1473.08,success
2014-05-10,Delhi,2985.24,failure
2014-08-06,Kochi,458.86,success
2015-04-03,Kolkata,2486.89,failure
2014-06-01,Bangalore,3778.07,success
2015-01-25,Bangalore,3980.04,success
2014-08-15,Bangalore,2268.44,failure
2014-06-18,Jaipur,1449.19,success
2014-04-13,Bangalore,1973.78,failure
2015-03-28,Jaipur,1211.42,failure
2014-04-27,Pune,3344.56,success
2014-05-31,Pune,1770.81,failure
2015-01-06,Hyderabad,1094.49,success
2015-04-14,Pune,1191.87,success
2014-09-28,Ahmedabad,4743.45,success
2015-03-27,Delhi,1767.12,failure
2014-08-17,Trivandrum,1885.49,failure
2014-09-18,Jaipur,3634.32,failure
2014-07-04,Trivandrum,2986.36,failure
2014-11-08,Trivandrum,427.28,failure
2014-08-18,Pune,2204.64,failure
2015-01-07,Ahmedabad,885.03,success
2014-08-22,Jaipur,3664.8,failure
2015-03-16,Kochi,460.92,success
2014-07-20,Kolkata,1933.09,success
2014-08-28,Ahmedabad,3720.11,failure
2014-09-07,Kolkata,4659.45,success
2014-05-04,Chennai,2338.52,failure
2014-03-29,Hyderabad,3747.47,success
2014-05-02,Trivandrum,4888.0,success
2014-03-04,Ahmedabad,4820.99,success
2014-04-08,Pune,123.73,failure
2014-07-15,Kolkata,3175.52,failure
2014-03-02,Pune,2301.46,failure
2015-02-23,Delhi,305.44,failure
2015-01-28,Kochi,4703.24,failure
2014-11-08,Ahmedabad,4344.17,success
2014-05-08,Ahmedabad,1568.68,success
2014-12-07,Ahmedabad,648.94,success
2014-12-15,Pune,576.19,success
2014-07-18,Bangalore,4662.17,success
2014-03-25,Delhi,891.78,failure
2014-04-10,Hyderabad,691.3,success
2015-04-23,Trivandrum,2400.14,failure
2014-06-17,Kolkata,11.18,success
2014-08-13,Chennai,1304.06,success
2014-08-04,Kolkata,4403.82,success
2015-03-30,Delhi,1130.18,failure
2014-06-27,Pune,4715.76,failure
2014-10-22,Ahmedabad,2921.76,success
2014-04-14,Chennai,65.03,success
2014-12-21,Kolkata,1974.68,failure
2015-04-24,Trivandrum,139.34,failure
2014-10-01,Ahmedabad,2014.8,failure
2015-02-15,Hyderabad,921.93,failure
2015-01-02,Chennai,580.88,success
2014-09-09,Bangalore,4978.41,failure
2015-02-10,Ahmedabad,4829.76,failure
2014-08-19,Hyderabad,1943.64,success
2015-04-21,Chennai,2826.65,success
2015-04-11,Hyderabad,176.8,failure
2014-05-01,Delhi,3591.44,success
2014-05-23,Bangalore,2981.35,success
2014-11-30,Kolkata,3960.28,success
2014-10-22,Jaipur,4913.51,failure
2014-07-22,Ahmedabad,182.38,success
2014-07-26,Chennai,4102.83,failure
2014-09-27,Kochi,4303.58,failure
2015-04-26,Pune,664.3,failure
2014-06-18,Jaipur,1097.59,failure
2015-04-04,Chennai,2394.76,success
2014-11-02,Trivandrum,3977.54,failure
2014-09-13,Bangalore,2988.6,success
2015-01-28,Pune,3901.8,failure
2014-06-24,Pune,3117.36,success
2014-12-05,Ahmedabad,913.95,success
2014-12-26,Jaipur,163.68,failure
2014-04-05,Bangalore,3049.63,success
2014-11-24,Hyderabad,308.37,failure
2014-03-20,Delhi,4640.18,failure
2015-01-11,Pune,4452.38,success
2014-08-25,Bangalore,1055.74,success
2014-03-13,Kolkata,4739.9,failure
2015-01-21,Ahmedabad,1785.77,failure
2015-03-09,Delhi,4109.38,success
2014-08-22,Delhi,2852.73,failure
2014-05-15,Kochi,1314.62,success
2014-10-03,Trivandrum,562.24,success
2014-05-28,Trivandrum,3565.75,failure
2014-04-01,Kolkata,209.84,success
2014-10-28,Jaipur,4635.16,success
2014-11-06,Kolkata,174.3,failure
2014-12-27,Kolkata,3914.25,failure
2015-01-06,Kolkata,2905.34,success
2014-11-19,Chennai,358.6,success
2015-02-03,Bangalore,173.89,success
2015-01-04,Ahmedabad,3426.93,failure
2015-01-11,Kolkata,235.59,success
2014-12-31,Trivandrum,1518.68,success
2014-10-18,Hyderabad,3628.69,success
2014-05-01,Ahmedabad,4447.51,success
2015-01-15,Delhi,4205.71,failure
2014-10-20,Hyderabad,419.55,failure
2014-08-17,Pune,4806.79,failure
2014-11-20,Ahmedabad,4508.4,failure
2014-05-06,Delhi,3389.08,success
2014-07-31,Kolkata,4131.16,success
2015-01-31,Kochi,1831.6,failure
2015-03-05,Hyderabad,3433.53,success
2014-03-01,Ahmedabad,1307.99,failure
2014-03-06,Pune,2221.25,failure
2015-02-06,Ahmedabad,1202.81,failure
2014-09-16,Pune,4395.76,success
2014-05-22,Trivandrum,1968.12,failure
2014-11-04,Trivandrum,2368.97,failure
2015-02-19,Ahmedabad,2649.72,success
2015-02-17,Ahmedabad,4446.55,success
2014-05-27,Chennai,2546.34,success
2014-09-14,Chennai,685.76,failure
2014-08-04,Bangalore,2263.37,success
2014-12-27,Jaipur,4698.11,failure
2014-10-14,Pune,4864.33,success
2015-04-08,Hyderabad,790.49,failure
2014-05-08,Jaipur,3157.22,failure
2015-02-21,Kolkata,3020.95,failure
2014-12-26,Trivandrum,4810.82,failure
2015-04-20,Pune,1496.67,failure
2015-04-15,Hyderabad,274.79,success
2015-03-31,Jaipur,2549.98,success
2015-02-12,Kolkata,1564.24,failure
2014-11-30,Jaipur,1923.09,success
2015-02-15,Kochi,1849.2,failure
2014-05-19,Trivandrum,4757.59,failure
2014-07-26,Hyderabad,4343.09,success
2014-12-27,Delhi,4948.5,success
2014-09-22,Ahmedabad,1134.96,success
2014-03-21,Chennai,4063.62,failure
2014-10-19,Ahmedabad,3983.47,failure
2014-07-13,Bangalore,3306.36,failure
2014-06-29,Chennai,2846.21,failure
2015-02-19,Kochi,556.67,failure
2015-04-19,Bangalore,2558.85,failure
2015-03-27,Jaipur,406.45,failure
2014-05-03,Delhi,1482.11,success
2014-05-31,Bangalore,776.23,success
2014-07-25,Chennai,2366.99,failure
2014-08-14,Pune,211.49,success
2014-04-26,Kochi,3147.11,failure
2014-03-06,Trivandrum,4205.88,success
2014-08-24,Jaipur,945.02,failure
2014-09-20,Chennai,2601.48,failure
2014-11-18,Bangalore,1877.83,success
2015-04-23,Kolkata,4203.72,failure
2014-10-31,Jaipur,4821.12,failure
2015-02-13,Pune,1428.26,failure
2014-06-04,Bangalore,317.86,success
2015-02-28,Chennai,1140.93,failure
2015-03-21,Delhi,4904.16,failure
2014-07-17,Bangalore,4914.34,success
2014-11-10,Bangalore,1769.59,failure
2014-04-06,Delhi,4363.59,success
2014-05-04,Hyderabad,862.67,success
2014-08-21,Pune,966.59,success
2015-02-15,Jaipur,3645.14,success
2015-01-13,Hyderabad,4375.94,failure
2015-04-04,Kochi,4515.01,success
2015-01-12,Trivandrum,4849.85,success
2014-07-02,Trivandrum,572.13,failure
2014-12-04,Hyderabad,598.44,failure
2015-01-23,Chennai,1486.61,success
2015-01-07,Bangalore,2366.82,failure
2014-05-30,Ahmedabad,1705.47,failure
2015-03-07,Bangalore,4521.02,failure
2014-07-26,Kolkata,1492.74,success
2015-02-11,Kolkata,4449.21,failure
2014-03-23,Hyderabad,4038.31,success
2014-05-25,Pune,2665.14,success
2015-01-27,Kolkata,3697.18,success
2014-04-09,Pune,3122.77,failure
2014-09-14,Bangalore,1655.65,failure
2014-12-28,Pune,1206.74,failure
2015-03-10,Pune,2387.42,failure
2015-01-05,Trivandrum,4881.25,success
2014-06-17,Kolkata,4276.79,failure
2014-04-12,Delhi,4725.97,success
2014-05-24,Trivandrum,822.49,failure
2014-08-01,Delhi,581.12,failure
2014-12-19,Pune,4513.26,failure
2014-03-21,Kochi,2070.65,success
2014-03-16,Ahmedabad,2465.71,failure
2014-10-17,Kolkata,2925.65,failure
2015-01-15,Chennai,3075.78,success
2014-11-10,Trivandrum,1046.58,success
2014-07-16,Delhi,3160.05,failure
2014-03-26,Jaipur,1042.11,failure
2014-03-12,Ahmedabad,2387.15,success
2014-08-26,Pune,656.3,success
2014-10-03,Chennai,2676.94,failure
2015-02-12,Delhi,3055.39,success
2014-04-09,Ahmedabad,4158.51,success
2014-08-22,Jaipur,4524.21,success
2014-04-22,Kolkata,258.31,failure
2015-04-04,Kolkata,1786.48,failure
2014-12-26,Bangalore,2553.47,failure
2014-09-01,Pune,15.77,success
2015-04-18,Kolkata,3138.6,failure
2014-10-14,Delhi,4626.13,failure
2015-03-09,Chennai,1630.22,failure
2014-10-25,Jaipur,396.94,success
2014-05-04,Kolkata,4120.09,success
2014-12-14,Pune,2278.21,success
2015-04-06,Delhi,1035.55,success
2014-06-05,Kolkata,1539.32,failure
2014-12-19,Kochi,1347.04,success
2014-07-13,Kolkata,1544.1,failure
2015-03-16,Delhi,3557.51,failure
2014-12-26,Bangalore,1687.3,failure
2014-09-21,Kochi,1221.4,failure
2014-09-29,Pune,165.7,success
2014-05-22,Kochi,472.74,success
2014-03-23,Trivandrum,1750.63,success
2014-10-31,Jaipur,4296.92,failure
2015-02-14,Kolkata,3293.95,success
2014-06-26,Jaipur,4788.1,success
2015-03-14,Jaipur,338.28,success
2015-04-09,Bangalore,2912.16,failure
2014-06-01,Bangalore,1985.93,failure
2014-10-01,Bangalore,4863.08,success
2014-10-30,Trivandrum,3399.29,failure
2014-03-06,Delhi,2179.81,success
2014-08-20,Delhi,4750.0,success
2015-04-11,Kochi,1583.06,failure
2014-06-01,Jaipur,2603.15,failure
2014-06-03,Trivandrum,1752.46,success
2015-01-09,Trivandrum,1237.42,success
2014-08-16,Kochi,110.37,failure
2015-01-13,Hyderabad,4286.41,failure
2015-01-20,Jaipur,3822.8,success
2014-07-22,Kochi,2060.61,failure
2014-11-01,Delhi,2680.33,failure
2014-10-24,Trivandrum,551.35,success
2014-05-04,Bangalore,1969.54,success
2014-03-02,Kolkata,3813.43,success
2015-03-30,Kolkata,4937.83,success
2014-06-27,Kochi,2004.02,failure
2014-06-21,Kolkata,4650.82,success
2015-02-18,Pune,4320.4,success
2015-02-03,Delhi,578.71,success
2014-05-15,Trivandrum,4056.28,failure
2014-10-07,Hyderabad,883.71,success
2014-06-30,Hyderabad,4459.11,failure
2014-10-06,Chennai,3798.26,failure
2014-12-31,Kolkata,2914.63,failure
2014-11-18,Trivandrum,4567.7,success
2015-02-06,Delhi,3528.26,failure
2014-07-13,Bangalore,4344.4,success
2015-03-25,Hyderabad,1800.41,success
2015-04-11,Bangalore,3609.13,failure
2014-07-16,Hyderabad,193.74,failure
2014-04-27,Pune,4977.52,failure
2015-04-05,Kochi,1086.85,success
2015-01-03,Chennai,640.55,failure
2015-03-28,Delhi,2649.57,success
2014-09-27,Jaipur,1958.48,failure
2014-10-07,Kochi,311.11,success
2014-10-06,Ahmedabad,2807.02,success
2014-09-23,Pune,4951.62,success
2015-04-27,Hyderabad,20.02,failure
2014-10-03,Kolkata,3760.21,success
2015-04-18,Jaipur,2435.5,success
2014-04-04,Hyderabad,1407.4,failure
2014-07-07,Trivandrum,4750.79,success
2014-06-14,Trivandrum,4567.66,success
2015-02-16,Hyderabad,1215.71,success
2014-11-24,Ahmedabad,3636.1,failure
2014-03-25,Delhi,3892.24,success
2014-08-22,Pune,3698.8,success
2014-07-25,Trivandrum,3369.28,failure
2015-01-11,Jaipur,2112.55,success
2014-09-03,Delhi,243.17,success
2014-10-19,Kochi,1260.0,success
2014-06-26,Delhi,3144.26,failure
2014-11-19,Chennai,4806.71,failure
2014-07-28,Delhi,1638.39,success
2015-01-05,Kolkata,3347.94,failure
2014-10-04,Ahmedabad,571.2,success
2014-04-01,Delhi,3598.54,success
2015-01-04,Trivandrum,2930.06,failure
2014-10-12,Ahmedabad,4553.0,failure
2014-12-25,Hyderabad,4877.1,success
2014-07-18,Kochi,3011.94,success
2014-11-25,Pune,965.61,success
2015-02-16,Ahmedabad,1925.66,success
2014-07-27,Delhi,172.82,failure
2014-12-27,Pune,2779.53,failure
2014-07-06,Chennai,1833.07,success
2014-08-28,Pune,2065.3,failure
2014-08-07,Bangalore,3128.26,success
2014-11-08,Kochi,4686.57,success
2014-09-10,Kolkata,2506.87,failure
2014-04-10,Trivandrum,2561.39,success
2015-01-07,Jaipur,2160.85,failure
2014-12-08,Jaipur,2349.81,failure
2014-03-27,Kochi,4611.41,success
2014-11-18,Ahmedabad,4643.15,failure
2014-07-14,Hyderabad,925.31,failure
2014-03-15,Kochi,2652.34,failure
2015-04-20,Delhi,3419.97,success
2015-04-14,Bangalore,930.63,success
2014-07-25,Jaipur,4698.62,success
2015-03-23,Hyderabad,2930.53,failure
2014-04-29,Jaipur,3137.19,failure
2015-04-10,Kochi,417.51,success
2014-03-29,Jaipur,974.65,success
2015-03-16,Kochi,1399.34,success
2015-03-31,Trivandrum,3439.46,failure
2015-03-06,Jaipur,1183.75,failure
2014-08-07,Jaipur,1345.87,failure
2014-11-19,Kochi,1354.72,success
2015-02-10,Trivandrum,4220.66,failure
2014-06-20,Bangalore,2778.55,success
2014-08-14,Bangalore,3222.83,failure
2014-10-17,Ahmedabad,474.11,failure
2015-01-07,Trivandrum,2483.41,success
2015-04-26,Trivandrum,2652.26,success
2014-09-06,Bangalore,4909.91,failure
2014-10-24,Bangalore,2136.19,success
2014-12-19,Ahmedabad,304.47,failure
2014-12-14,Bangalore,4106.41,success
2014-12-07,Kochi,1760.23,failure
2014-08-24,Delhi,3429.88,failure
2014-06-02,Chennai,1610.37,failure
2014-06-26,Jaipur,2307.04,success
2015-04-06,Bangalore,617.9,failure
2015-04-11,Ahmedabad,3421.59,success
2014-09-28,Kochi,1467.26,failure
2014-05-19,Pune,4939.65,failure
2015-01-31,Kochi,2750.57,failure
2014-09-24,Trivandrum,1424.32,success
2015-02-27,Kochi,2279.18,failure
2014-07-27,Trivandrum,4454.92,failure
2014-06-17,Kolkata,3625.44,failure
2015-01-10,Trivandrum,2018.44,failure
2014-04-26,Ahmedabad,464.5,failure
2014-07-13,Trivandrum,4682.33,success
2014-11-28,Pune,1111.95,failure
2015-03-26,Chennai,548.39,success
2015-04-16,Jaipur,303.26,success
2014-09-23,Bangalore,3576.91,success
2014-03-15,Bangalore,3147.76,failure
2014-07-21,Ahmedabad,112.49,failure
2014-12-01,Bangalore,158.87,failure
2014-06-17,Hyderabad,3383.52,success
2014-11-03,Hyderabad,2287.79,failure
2014-07-21,Ahmedabad,2719.19,failure
2015-01-19,Chennai,3092.93,success
2015-02-14,Trivandrum,1709.16,success
2014-05-18,Chennai,1580.31,success
2014-04-03,Trivandrum,321.6,failure
2014-10-27,Hyderabad,596.35,failure
2014-05-27,Chennai,2133.83,failure
2015-04-06,Kochi,3859.16,success
2014-10-27,Kolkata,438.5,failure
2014-05-15,Hyderabad,2503.36,success
2014-04-29,Kolkata,499.63,success
2014-07-31,Bangalore,4485.64,failure
2015-03-24,Ahmedabad,1542.5,success
2014-08-04,Ahmedabad,4960.52,failure
2014-10-14,Ahmedabad,1978.74,success
2014-09-25,Pune,2556.09,success
2015-02-17,Ahmedabad,4009.69,success
2014-07-07,Chennai,3298.28,success
2014-10-05,Jaipur,1992.23,failure
2014-10-30,Jaipur,1834.11,failure
2015-03-15,Chennai,2767.43,success
2014-05-23,Kolkata,2788.17,failure
2015-04-16,Kolkata,4879.44,failure
2015-04-19,Kolkata,166.28,success
2014-10-17,Pune,2466.84,success
2014-06-25,Hyderabad,2751.96,success
2014-05-31,Pune,4370.33,failure
2014-07-26,Pune,3353.49,failure
2014-10-11,Chennai,4328.4,failure
2014-04-23,Kochi,2537.97,success
2015-02-12,Kolkata,647.09,success
2014-06-26,Jaipur,4412.21,failure
2015-01-28,Chennai,3960.53,success
2014-08-23,Delhi,3632.73,success
2014-11-21,Jaipur,3854.82,failure
2014-07-24,Chennai,4434.15,success
2015-03-18,Ahmedabad,387.81,failure
2014-11-12,Jaipur,1208.43,failure
2014-09-15,Trivandrum,2507.13,failure
2014-07-05,Kolkata,1007.42,success
2014-07-20,Kolkata,1701.39,failure
2014-06-03,Pune,3639.2,success
2015-03-31,Ahmedabad,4253.62,success
2015-02-09,Jaipur,589.75,failure
2014-04-30,Jaipur,4138.7,failure
2014-08-06,Kochi,1766.51,failure
2014-07-19,Ahmedabad,1433.42,failure
2014-12-19,Pune,2339.55,failure
2014-04-04,Jaipur,3014.59,success
2014-05-21,Trivandrum,4491.86,failure
2015-02-03,Chennai,2990.54,failure
2015-01-03,Trivandrum,1121.7,success
2015-03-26,Kochi,1236.29,failure
2014-08-30,Jaipur,3301.12,success
2015-02-23,Kolkata,1243.4,success
2014-12-27,Pune,1997.25,success
2015-03-30,Trivandrum,2714.05,failure
2014-06-18,Delhi,4105.4,failure
2015-01-20,Kolkata,1175.85,success
2015-02-22,Delhi,1890.32,failure
2014-12-27,Hyderabad,4898.84,failure
2014-05-24,Kolkata,4175.67,success
2014-06-12,Hyderabad,448.13,success
2014-05-29,Hyderabad,2987.06,success
2014-05-31,Chennai,997.45,failure
2014-11-04,Chennai,783.46,failure
2014-07-27,Delhi,4266.13,success
2014-07-17,Ahmedabad,2621.49,failure
2014-11-28,Chennai,3792.28,failure
2014-12-15,Chennai,2705.82,failure
2015-01-05,Trivandrum,1317.06,success
2014-07-29,Jaipur,805.19,failure
2014-12-18,Kochi,802.22,failure
2014-12-25,Bangalore,3196.02,success
2014-08-08,Kolkata,1929.99,failure
2014-09-29,Bangalore,2569.35,failure
2014-08-30,Delhi,2241.48,failure
2014-06-23,Delhi,1853.39,failure
2014-05-12,Trivandrum,4184.33,success
2015-02-09,Kolkata,3629.81,failure
2015-03-05,Pune,4003.7,failure
2014-10-15,Jaipur,3020.16,success
2014-06-24,Ahmedabad,2467.44,failure
2014-10-16,Pune,713.9,failure
2014-08-28,Ahmedabad,4607.37,failure
2014-11-02,Kolkata,3320.52,success
2014-03-20,Hyderabad,1699.24,failure
2014-04-17,Bangalore,3417.3,failure
2014-07-16,Jaipur,2688.09,success
2014-04-26,Pune,4122.96,failure
2014-11-28,Chennai,4074.52,success
2015-02-24,Trivandrum,4491.84,failure
2014-03-27,Bangalore,2188.42,success
2014-09-23,Chennai,1784.56,failure
2014-09-29,Kolkata,1408.5,failure
2014-10-06,Kolkata,2205.79,failure
2014-12-13,Delhi,4254.85,success
2014-06-13,Delhi,1565.15,success
2014-11-28,Bangalore,35.17,success
2014-09-15,Kochi,3223.35,success
2014-09-26,Kochi,2403.01,success
2014-07-31,Hyderabad,2900.7,success
2014-09-18,Ahmedabad,4662.97,success
2015-01-03,Ahmedabad,1792.81,failure
2014-08-15,Delhi,3541.64,failure
